"id","surface","source","file","line","occurrences","locale","key","current_text","suggested_text","notes"
"i18n.zh.dashboard.flow.step1.desc","frontstage","i18n","src/lib/i18n.ts","223","1","zh","dashboard.flow.step1.desc","新建案件、主体、物件并读取资料","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.dashboard.flow.step2.title","frontstage","i18n","src/lib/i18n.ts","224","1","zh","dashboard.flow.step2.title","关联物件与主体","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.dashboard.flow.step2.desc","frontstage","i18n","src/lib/i18n.ts","225","1","zh","dashboard.flow.step2.desc","统一核对关联信息","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.dashboard.flow.step3.title","frontstage","i18n","src/lib/i18n.ts","226","1","zh","dashboard.flow.step3.title","整理合同","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.dashboard.flow.step3.desc","frontstage","i18n","src/lib/i18n.ts","227","1","zh","dashboard.flow.step3.desc","按合同类型维护履历","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.dashboard.flow.step4.title","frontstage","i18n","src/lib/i18n.ts","228","1","zh","dashboard.flow.step4.title","输出标准文书","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.dashboard.flow.step4.desc","frontstage","i18n","src/lib/i18n.ts","229","1","zh","dashboard.flow.step4.desc","输出提案、明细和收据","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.dashboard.importJobs.title","frontstage","i18n","src/lib/i18n.ts","230","1","zh","dashboard.importJobs.title","资料读取状态","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.dashboard.importJobs.subtitle","frontstage","i18n","src/lib/i18n.ts","231","1","zh","dashboard.importJobs.subtitle","优先处理未整理资料","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.dashboard.importJobs.empty","frontstage","i18n","src/lib/i18n.ts","232","1","zh","dashboard.importJobs.empty","暂无待整理资料。","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.dashboard.importJobs.target","frontstage","i18n","src/lib/i18n.ts","233","1","zh","dashboard.importJobs.target","目标","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.dashboard.requests.title","frontstage","i18n","src/lib/i18n.ts","234","1","zh","dashboard.requests.title","跟进记录","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.dashboard.requests.subtitle","frontstage","i18n","src/lib/i18n.ts","235","1","zh","dashboard.requests.subtitle","未完成的维修、点检与后续处理","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.dashboard.requests.empty","frontstage","i18n","src/lib/i18n.ts","236","1","zh","dashboard.requests.empty","暂无未完成跟进记录。","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.dashboard.requests.unlinkedProperty","frontstage","i18n","src/lib/i18n.ts","237","1","zh","dashboard.requests.unlinkedProperty","未关联物件","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.dashboard.requests.unlinkedParty","frontstage","i18n","src/lib/i18n.ts","238","1","zh","dashboard.requests.unlinkedParty","未关联主体","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.dashboard.requests.occurredAt","frontstage","i18n","src/lib/i18n.ts","239","1","zh","dashboard.requests.occurredAt","发生日","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.dashboard.contracts.title","frontstage","i18n","src/lib/i18n.ts","240","1","zh","dashboard.contracts.title","最新合同记录","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.dashboard.contracts.subtitle","frontstage","i18n","src/lib/i18n.ts","241","1","zh","dashboard.contracts.subtitle","按合同类型展示最近6条","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.dashboard.contracts.empty","frontstage","i18n","src/lib/i18n.ts","242","1","zh","dashboard.contracts.empty","暂无合同记录。","","Can be edited in CSV and migrated back to i18n source."
